Año,Departamento de residencia,Causa de muerte,Total,Hombres,Mujeres
2009,Solola,Otras enfermedades pulmonares obstructivas crónicas,22,12,10
2009,Solola,Otros trastornos del encéfalo,21,9,12
2009,Solola,Sepsis bacteriana del recién nacido,21,15,6
2009,Solola,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",236,103,133
2009,Solola,Otras causas,625,319,306
2009,Totonicapan,"Neumonía, organismo no especificado",522,271,251
2009,Totonicapan,Diarrea y gastroenteritis de presunto origen infeccioso,107,66,41
2009,Totonicapan,Infarto agudo del miocardio,103,54,49
2009,Totonicapan,Fibrosis y cirrosis del hígado,93,63,30
2009,Totonicapan,Exposición a factores no especificados,82,70,12
2009,Totonicapan,Insuficiencia cardíaca,81,48,33
2009,Totonicapan,"Diabetes mellitus, no especificada",76,45,31
2009,Totonicapan,Trastornos mentales y del comportamiento debidos al uso de alcohol,74,59,15
2009,Totonicapan,Hipertensión esencial (primaria),48,18,30
2009,Totonicapan,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",31,13,18
2009,Totonicapan,Sepsis bacteriana del recién nacido,29,18,11
2009,Totonicapan,"Desnutrición proteicocalórica, no especificada",28,13,15
2009,Totonicapan,Úlcera gástrica,28,13,15
2009,Totonicapan,Neumonía congénita,28,16,12
2009,Totonicapan,Depleción del volumen,26,15,11
2009,Totonicapan,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",273,140,133
2009,Totonicapan,Otras causas,660,368,292
2009,Quetzaltenango,"Neumonía, organismo no especificado",372,193,179
2009,Quetzaltenango,"Diabetes mellitus, no especificada",238,101,137
2009,Quetzaltenango,Exposición a factores no especificados,235,181,54
2009,Quetzaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,156,140,16
2009,Quetzaltenango,"Desnutrición proteicocalórica, no especificada",152,72,80
2009,Quetzaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,121,65,56
2009,Quetzaltenango,Insuficiencia cardíaca,117,56,61
2009,Quetzaltenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",116,111,5
2009,Quetzaltenango,Infarto agudo del miocardio,110,61,49
2009,Quetzaltenango,Fibrosis y cirrosis del hígado,95,52,43
2009,Quetzaltenango,Enfermedad alcohólica del hígado,82,61,21
2009,Quetzaltenango,Diabetes mellitus no insulinodependiente,79,31,48
2009,Quetzaltenango,Tumor maligno del estómago,77,42,35
2009,Quetzaltenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",69,26,43
2009,Quetzaltenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,66,29,37
2009,Quetzaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",247,110,137
2009,Quetzaltenango,Otras causas,"1,589",823,766
2009,Suchitepequez,"Neumonía, organismo no especificado",227,127,100
2009,Suchitepequez,Exposición a factores no especificados,176,143,33
2009,Suchitepequez,"Diabetes mellitus, no especificada",146,58,88
2009,Suchitepequez,"Agresión con disparo de otras armas de fuego, y las no especificadas",145,129,16
2009,Suchitepequez,Diarrea y gastroenteritis de presunto origen infeccioso,88,44,44
2009,Suchitepequez,Infarto agudo del miocardio,80,49,31
2009,Suchitepequez,Fibrosis y cirrosis del hígado,65,43,22
2009,Suchitepequez,"Desnutrición proteicocalórica, no especificada",62,33,29
2009,Suchitepequez,Tumor maligno del hígado y de las vías biliares intrahepáticas,56,29,27
2009,Suchitepequez,Tumor maligno del estómago,50,23,27
2009,Suchitepequez,Insuficiencia cardíaca,46,19,27
2009,Suchitepequez,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",45,21,24
2009,Suchitepequez,Insuficiencia renal crónica,43,28,15
2009,Suchitepequez,Insuficiencia renal no especificada,38,25,13
2009,Suchitepequez,Tumor maligno de sitios no especificados,35,17,18
2009,Suchitepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",535,273,262
2009,Suchitepequez,Otras causas,944,554,390
2009,Retalhuleu,"Diabetes mellitus, no especificada",128,51,77
2009,Retalhuleu,"Neumonía, organismo no especificado",111,65,46
2009,Retalhuleu,Exposición a factores no especificados,90,78,12
2009,Retalhuleu,"Agresión con disparo de otras armas de fuego, y las no especificadas",73,67,6
2009,Retalhuleu,Infarto agudo del miocardio,65,35,30
2009,Retalhuleu,Insuficiencia renal crónica,62,48,14
2009,Retalhuleu,Insuficiencia cardíaca,57,22,35
2009,Retalhuleu,Fibrosis y cirrosis del hígado,57,38,19
2009,Retalhuleu,Diarrea y gastroenteritis de presunto origen infeccioso,46,28,18
2009,Retalhuleu,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",46,22,24
2009,Retalhuleu,Tumor maligno del estómago,37,19,18
2009,Retalhuleu,Tumor maligno del hígado y de las vías biliares intrahepáticas,35,14,21
2009,Retalhuleu,Úlcera gástrica,27,14,13
2009,Retalhuleu,Otras septicemias,26,13,13
2009,Retalhuleu,Tumor maligno de la próstata,26,26,-
2009,Retalhuleu,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",66,33,33
2009,Retalhuleu,Otras causas,669,374,295
2009,San Marcos,"Neumonía, organismo no especificado",741,425,316
2009,San Marcos,Diarrea y gastroenteritis de presunto origen infeccioso,210,121,89
2009,San Marcos,Exposición a factores no especificados,207,170,37
2009,San Marcos,"Desnutrición proteicocalórica, no especificada",196,87,109
2009,San Marcos,Infarto agudo del miocardio,196,112,84
2009,San Marcos,"Agresión con disparo de otras armas de fuego, y las no especificadas",186,162,24
2009,San Marcos,Fibrosis y cirrosis del hígado,156,113,43
2009,San Marcos,"Diabetes mellitus, no especificada",146,72,74
2009,San Marcos,Trastornos mentales y del comportamiento debidos al uso de alcohol,121,111,10
2009,San Marcos,Insuficiencia cardíaca,119,64,55
2009,San Marcos,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",106,48,58
2009,San Marcos,Otros trastornos del encéfalo,98,63,35
2009,San Marcos,Úlcera gástrica,96,55,41
2009,San Marcos,Tumor maligno del hígado y de las vías biliares intrahepáticas,81,42,39
2009,San Marcos,Tumor maligno del estómago,79,31,48
2009,San Marcos,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",401,215,186
2009,San Marcos,Otras causas,"1,648",893,755
2009,Huehuetenango,"Neumonía, organismo no especificado",636,350,286
2009,Huehuetenango,Diarrea y gastroenteritis de presunto origen infeccioso,271,154,117
2009,Huehuetenango,Exposición a factores no especificados,173,143,30
2009,Huehuetenango,Infarto agudo del miocardio,128,69,59
2009,Huehuetenango,Tumor maligno del estómago,116,50,66
2009,Huehuetenango,"Diabetes mellitus, no especificada",111,45,66
2009,Huehuetenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,106,101,5
2009,Huehuetenango,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",92,49,43
2009,Huehuetenango,Insuficiencia cardíaca,90,46,44
2009,Huehuetenango,"Agresión con disparo de otras armas de fuego, y las no especificadas",85,72,13
2009,Huehuetenango,Fibrosis y cirrosis del hígado,73,55,18
2009,Huehuetenango,"Desnutrición proteicocalórica, no especificada",66,28,38
2009,Huehuetenango,Depleción del volumen,66,36,30
2009,Huehuetenango,Tumor maligno del hígado y de las vías biliares intrahepáticas,54,34,20
2009,Huehuetenango,Úlcera gástrica,54,20,34
2009,Huehuetenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",359,190,169
2009,Huehuetenango,Otras causas,"1,454",773,681
2009,Quiche,"Neumonía, organismo no especificado",687,355,332
2009,Quiche,Diarrea y gastroenteritis de presunto origen infeccioso,290,149,141
2009,Quiche,Exposición a factores no especificados,162,135,27
2009,Quiche,Trastornos mentales y del comportamiento debidos al uso de alcohol,121,114,7
2009,Quiche,Infarto agudo del miocardio,121,66,55
2009,Quiche,"Desnutrición proteicocalórica, no especificada",100,37,63
2009,Quiche,Insuficiencia cardíaca,92,41,51
2009,Quiche,"Diabetes mellitus, no especificada",81,37,44
2009,Quiche,Fibrosis y cirrosis del hígado,79,51,28
2009,Quiche,"Agresión con disparo de otras armas de fuego, y las no especificadas",77,73,4
2009,Quiche,Otras septicemias,76,40,36
2009,Quiche,Tumor maligno del estómago,67,30,37
2009,Quiche,Depleción del volumen,61,28,33
2009,Quiche,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",53,24,29
2009,Quiche,Enfermedad alcohólica del hígado,44,33,11
2009,Quiche,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",508,244,264
2009,Quiche,Otras causas,"1,207",646,561
2009,Baja Verapaz,"Neumonía, organismo no especificado",183,98,85
2009,Baja Verapaz,Infarto agudo del miocardio,92,48,44
2009,Baja Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",80,75,5
2009,Baja Verapaz,Exposición a factores no especificados,62,54,8
2009,Baja Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",56,28,28
2009,Baja Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,51,26,25
2009,Baja Verapaz,Tumor maligno del estómago,44,21,23
2009,Baja Verapaz,"Diabetes mellitus, no especificada",29,13,16
2009,Baja Verapaz,Insuficiencia cardíaca,22,9,13
2009,Baja Verapaz,Otras septicemias,21,11,10
2009,Baja Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,18,11,7
2009,Baja Verapaz,Trastornos mentales y del comportamiento debidos al uso de alcohol,18,17,1
2009,Baja Verapaz,"Desnutrición proteicocalórica, no especificada",17,7,10
2009,Baja Verapaz,Fibrosis y cirrosis del hígado,16,10,6
2009,Baja Verapaz,Otras enfermedades pulmonares obstructivas crónicas,13,9,4
2009,Baja Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",47,22,25
2009,Baja Verapaz,Otras causas,469,258,211
2009,Alta Verapaz,"Neumonía, organismo no especificado",758,399,359
2009,Alta Verapaz,"Desnutrición proteicocalórica, no especificada",400,180,220
2009,Alta Verapaz,Diarrea y gastroenteritis de presunto origen infeccioso,320,150,170
2009,Alta Verapaz,Infarto agudo del miocardio,163,88,75
2009,Alta Verapaz,Exposición a factores no especificados,145,122,23
2009,Alta Verapaz,"Agresión con disparo de otras armas de fuego, y las no especificadas",132,127,5
2009,Alta Verapaz,Fibrosis y cirrosis del hígado,105,64,41
2009,Alta Verapaz,Otras anemias,98,37,61
2009,Alta Verapaz,Tumor maligno del estómago,77,32,45
2009,Alta Verapaz,"Diabetes mellitus, no especificada",76,30,46
2009,Alta Verapaz,Otras anemias nutricionales,73,28,45
2009,Alta Verapaz,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",68,34,34
2009,Alta Verapaz,Tumor maligno del hígado y de las vías biliares intrahepáticas,64,38,26
2009,Alta Verapaz,Insuficiencia cardíaca,50,28,22
2009,Alta Verapaz,Otras septicemias,49,22,27
2009,Alta Verapaz,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",140,76,64
2009,Alta Verapaz,Otras causas,"1,522",812,710
2009,Peten,"Agresión con disparo de otras armas de fuego, y las no especificadas",266,253,13
2009,Peten,Exposición a factores no especificados,97,82,15
2009,Peten,"Neumonía, organismo no especificado",89,47,42
2009,Peten,"Diabetes mellitus, no especificada",84,27,57
2009,Peten,Agresión por medios no especificados,74,69,5
2009,Peten,Diarrea y gastroenteritis de presunto origen infeccioso,71,32,39
2009,Peten,Infarto agudo del miocardio,53,26,27
2009,Peten,Tumor maligno de sitios no especificados,34,12,22
2009,Peten,Tumor maligno del hígado y de las vías biliares intrahepáticas,31,17,14
2009,Peten,Otras enfermedades cerebrovasculares,30,18,12
2009,Peten,Tumor maligno del estómago,28,15,13
2009,Peten,Diabetes mellitus no insulinodependiente,27,13,14
2009,Peten,Secuelas de otros efectos y los no especificados de causas externas,26,22,4
2009,Peten,"Desnutrición proteicocalórica, no especificada",23,8,15
2009,Peten,Agresión con objeto cortante,23,20,3
2009,Peten,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",229,125,104
2009,Peten,Otras causas,639,358,281
2009,Izabal,"Agresión con disparo de otras armas de fuego, y las no especificadas",213,198,15
2009,Izabal,"Neumonía, organismo no especificado",129,65,64
2009,Izabal,Infarto agudo del miocardio,118,66,52
2009,Izabal,"Diabetes mellitus, no especificada",90,39,51
2009,Izabal,Exposición a factores no especificados,70,58,12
2009,Izabal,Secuelas de otros efectos y los no especificados de causas externas,66,50,16
2009,Izabal,Diarrea y gastroenteritis de presunto origen infeccioso,62,27,35
2009,Izabal,Insuficiencia cardíaca,42,18,24
2009,Izabal,Fibrosis y cirrosis del hígado,42,24,18
2009,Izabal,Otras septicemias,35,20,15
2009,Izabal,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",34,22,12
2009,Izabal,Tumor maligno del estómago,23,8,15
2009,Izabal,Tumor maligno del hígado y de las vías biliares intrahepáticas,21,9,12
2009,Izabal,Agresión con objeto cortante,21,19,2
2009,Izabal,Diabetes mellitus no insulinodependiente,20,5,15
2009,Izabal,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",159,86,73
2009,Izabal,Otras causas,728,400,328
2009,Zacapa,Infarto agudo del miocardio,140,70,70
2009,Zacapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",107,97,10
2009,Zacapa,Exposición a factores no especificados,73,64,9
2009,Zacapa,"Diabetes mellitus, no especificada",68,22,46
2009,Zacapa,"Neumonía, organismo no especificado",65,38,27
2009,Zacapa,Insuficiencia cardíaca,55,34,21
2009,Zacapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",43,24,19
2009,Zacapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,25,10,15
2009,Zacapa,"Desnutrición proteicocalórica, no especificada",24,16,8
2009,Zacapa,Diarrea y gastroenteritis de presunto origen infeccioso,21,11,10
2009,Zacapa,Tumor maligno del estómago,21,12,9
2009,Zacapa,Diabetes mellitus no insulinodependiente,20,6,14
2009,Zacapa,Tumor maligno de la próstata,19,19,-
2009,Zacapa,Hipertensión esencial (primaria),19,8,11
2009,Zacapa,Otros trastornos del encéfalo,16,6,10
2009,Zacapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",40,17,23
2009,Zacapa,Otras causas,538,292,246
2009,Chiquimula,"Neumonía, organismo no especificado",226,112,114
2009,Chiquimula,Infarto agudo del miocardio,183,96,87
2009,Chiquimula,"Agresión con disparo de otras armas de fuego, y las no especificadas",182,164,18
2009,Chiquimula,Insuficiencia cardíaca,110,47,63
2009,Chiquimula,Exposición a factores no especificados,85,64,21
2009,Chiquimula,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",80,36,44
2009,Chiquimula,Diarrea y gastroenteritis de presunto origen infeccioso,67,36,31
2009,Chiquimula,"Diabetes mellitus, no especificada",64,29,35
2009,Chiquimula,Fibrosis y cirrosis del hígado,49,38,11
2009,Chiquimula,Tumor maligno del estómago,45,22,23
2009,Chiquimula,Agresión con objeto cortante,39,39,-
2009,Chiquimula,Otras septicemias,37,21,16
2009,Chiquimula,Agresión por medios no especificados,27,24,3
2009,Chiquimula,"Desnutrición proteicocalórica, no especificada",22,13,9
2009,Chiquimula,Úlcera gástrica,22,14,8
2009,Chiquimula,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",61,31,30
2009,Chiquimula,Otras causas,686,379,307
2009,Jalapa,"Neumonía, organismo no especificado",185,98,87
2009,Jalapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",136,117,19
2009,Jalapa,Infarto agudo del miocardio,119,59,60
2009,Jalapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",78,37,41
2009,Jalapa,Diarrea y gastroenteritis de presunto origen infeccioso,76,41,35
2009,Jalapa,Exposición a factores no especificados,53,45,8
2009,Jalapa,"Diabetes mellitus, no especificada",52,22,30
2009,Jalapa,Tumor maligno del estómago,43,19,24
2009,Jalapa,Insuficiencia cardíaca,43,26,17
2009,Jalapa,Otras enfermedades pulmonares obstructivas crónicas,32,21,11
2009,Jalapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,27,14,13
2009,Jalapa,Agresión con objeto cortante,23,21,2
2009,Jalapa,"Desnutrición proteicocalórica, no especificada",20,13,7
2009,Jalapa,Fibrosis y cirrosis del hígado,20,16,4
2009,Jalapa,Tumor maligno de los bronquios y del pulmón,18,8,10
2009,Jalapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",140,70,70
2009,Jalapa,Otras causas,519,284,235
2009,Jutiapa,"Agresión con disparo de otras armas de fuego, y las no especificadas",244,213,31
2009,Jutiapa,Infarto agudo del miocardio,216,125,91
2009,Jutiapa,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",186,99,87
2009,Jutiapa,"Neumonía, organismo no especificado",120,68,52
2009,Jutiapa,"Diabetes mellitus, no especificada",113,47,66
2009,Jutiapa,Exposición a factores no especificados,103,89,14
2009,Jutiapa,Insuficiencia cardíaca,89,46,43
2009,Jutiapa,Tumor maligno del estómago,74,38,36
2009,Jutiapa,Tumor maligno del hígado y de las vías biliares intrahepáticas,54,25,29
2009,Jutiapa,Diarrea y gastroenteritis de presunto origen infeccioso,49,26,23
2009,Jutiapa,Diabetes mellitus no insulinodependiente,43,15,28
2009,Jutiapa,Otras enfermedades cerebrovasculares,43,18,25
2009,Jutiapa,Fibrosis y cirrosis del hígado,41,26,15
2009,Jutiapa,Tumor maligno de la próstata,36,36,-
2009,Jutiapa,Hipertensión esencial (primaria),34,13,21
2009,Jutiapa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",73,46,27
2009,Jutiapa,Otras causas,981,570,411
2010,Guatemala,"Agresión con disparo de otras armas de fuego, y las no especificadas","1,826","1,61",216
2010,Guatemala,"Diabetes mellitus, no especificada","1,124",502,622
2010,Guatemala,Infarto agudo del miocardio,"1,013",538,475
2010,Guatemala,"Neumonía, organismo no especificado",841,455,386
2010,Guatemala,Exposición a factores no especificados,773,619,154
2010,Guatemala,Fibrosis y cirrosis del hígado,615,432,183
2010,Guatemala,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",495,278,217
2010,Guatemala,"Desnutrición proteicocalórica, no especificada",455,202,253
2010,Guatemala,Diabetes mellitus no insulinodependiente,414,175,239
2010,Guatemala,Tumor maligno del estómago,368,160,208
2010,Guatemala,Insuficiencia cardíaca,337,155,182
2010,Guatemala,Insuficiencia renal crónica,329,157,172
2010,Guatemala,Tumor maligno del hígado y de las vías biliares intrahepáticas,317,131,186
2010,Guatemala,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",303,263,40
2010,Guatemala,Otras septicemias,250,118,132
2010,Guatemala,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",935,438,497
2010,Guatemala,Otras causas,"7,792","4,134","3,658"
2010,El Progreso,Infarto agudo del miocardio,120,52,68
2010,El Progreso,"Neumonía, organismo no especificado",65,38,27
2010,El Progreso,"Diabetes mellitus, no especificada",54,18,36
2010,El Progreso,"Agresión con disparo de otras armas de fuego, y las no especificadas",54,47,7
2010,El Progreso,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",50,26,24
2010,El Progreso,Exposición a factores no especificados,43,38,5
2010,El Progreso,Tumor maligno del estómago,27,18,9
2010,El Progreso,Tumor maligno del hígado y de las vías biliares intrahepáticas,25,10,15
2010,El Progreso,Insuficiencia cardíaca,24,10,14
