Año,Edad,Causa de muerte,Total,Hombres,Mujeres
2009,7 - 27 días,Hemorragia pulmonar originada en el período perinatal,24,12,12
2009,7 - 27 días,Otras afecciones originadas en el período perinatal,19,13,6
2009,7 - 27 días,Diarrea y gastroenteritis de presunto origen infeccioso,18,5,13
2009,7 - 27 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",35,16,19
2009,7 - 27 días,Otras causas,262,140,122
2009,28 días a menos de 1 año,"Neumonía, organismo no especificado",1719,971,748
2009,28 días a menos de 1 año,Diarrea y gastroenteritis de presunto origen infeccioso,586,333,253
2009,28 días a menos de 1 año,Otras septicemias,251,145,106
2009,28 días a menos de 1 año,"Desnutrición proteicocalórica, no especificada",216,111,105
2009,28 días a menos de 1 año,Otras malformaciones congénitas del corazón,112,51,61
2009,28 días a menos de 1 año,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",83,40,43
2009,28 días a menos de 1 año,Depleción del volumen,58,29,29
2009,28 días a menos de 1 año,"Otras malformaciones congénitas, no clasificadas en otra parte",53,27,26
2009,28 días a menos de 1 año,Sepsis bacteriana del recién nacido,45,27,18
2009,28 días a menos de 1 año,"Neumonía bacteriana, no clasificada en otra parte",43,21,22
2009,28 días a menos de 1 año,Síndrome de Down,43,23,20
2009,28 días a menos de 1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],41,23,18
2009,28 días a menos de 1 año,Ileo paralítico y obstrucción intestinal sin hernia,39,22,17
2009,28 días a menos de 1 año,Hidrocéfalo,38,21,17
2009,28 días a menos de 1 año,Otros trastornos respiratorios,37,23,14
2009,28 días a menos de 1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",328,173,155
2009,28 días a menos de 1 año,Otras causas,1044,579,465
2009,1 año,"Neumonía, organismo no especificado",579,300,279
2009,1 año,Diarrea y gastroenteritis de presunto origen infeccioso,445,223,222
2009,1 año,"Desnutrición proteicocalórica, no especificada",118,48,70
2009,1 año,Otras septicemias,64,34,30
2009,1 año,Depleción del volumen,52,27,25
2009,1 año,Exposición a factores no especificados,28,15,13
2009,1 año,"Parasitosis intestinal, sin otra especificación",17,11,6
2009,1 año,Ahogamiento y sumersión no especificados,16,10,6
2009,1 año,Otras anemias,14,3,11
2009,1 año,"Desnutrición proteicocalórica severa, no especificada",14,10,4
2009,1 año,Hidrocéfalo,14,7,7
2009,1 año,Coagulación intravascular diseminada [síndrome de desfibrinación],13,6,7
2009,1 año,Epilepsia,13,4,9
2009,1 año,Otros trastornos respiratorios,13,8,5
2009,1 año,Otras malformaciones congénitas del corazón,13,7,6
2009,1 año,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",123,64,59
2009,1 año,Otras causas,346,175,171
2009,2 años,"Neumonía, organismo no especificado",166,77,89
2009,2 años,Diarrea y gastroenteritis de presunto origen infeccioso,125,58,67
2009,2 años,"Desnutrición proteicocalórica, no especificada",36,12,24
2009,2 años,Exposición a factores no especificados,28,17,11
2009,2 años,Otras septicemias,21,14,7
2009,2 años,Depleción del volumen,20,10,10
2009,2 años,Ahogamiento y sumersión no especificados,12,8,4
2009,2 años,"Parasitosis intestinal, sin otra especificación",11,4,7
2009,2 años,Epilepsia,10,7,3
2009,2 años,"Exposición a humos, fuegos o llamas no especificados",9,5,4
2009,2 años,Otras anemias,7,3,4
2009,2 años,Hidrocéfalo,7,4,3
2009,2 años,"Desnutrición proteicocalórica severa, no especificada",6,6,0
2009,2 años,Ileo paralítico y obstrucción intestinal sin hernia,6,3,3
2009,2 años,Obstrucción no especificada de la respiración,6,1,5
2009,2 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",53,26,27
2009,2 años,Otras causas,166,93,73
2009,3 años,"Neumonía, organismo no especificado",71,31,40
2009,3 años,Diarrea y gastroenteritis de presunto origen infeccioso,35,17,18
2009,3 años,Exposición a factores no especificados,28,19,9
2009,3 años,"Desnutrición proteicocalórica, no especificada",12,7,5
2009,3 años,Depleción del volumen,12,5,7
2009,3 años,Otras septicemias,9,6,3
2009,3 años,Otros trastornos del encéfalo,8,4,4
2009,3 años,Otras malformaciones congénitas del corazón,7,3,4
2009,3 años,Coagulación intravascular diseminada [síndrome de desfibrinación],6,4,2
2009,3 años,Microcefalia,5,1,4
2009,3 años,Ahogamiento y sumersión no especificados,5,0,5
2009,3 años,Leucemia linfoide,4,3,1
2009,3 años,Epilepsia,4,3,1
2009,3 años,"Ahorcamiento, estrangulamiento y sofocación, de intención no determinada",4,1,3
2009,3 años,Tumor maligno del ojo y sus anexos,3,2,1
2009,3 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",22,13,9
2009,3 años,Otras causas,122,65,57
2009,4 años,"Neumonía, organismo no especificado",40,20,20
2009,4 años,Diarrea y gastroenteritis de presunto origen infeccioso,36,19,17
2009,4 años,Exposición a factores no especificados,19,11,8
2009,4 años,"Desnutrición proteicocalórica, no especificada",12,4,8
2009,4 años,Otras septicemias,7,2,5
2009,4 años,Meningitis debida a otras causas y a las no especificadas,6,6,0
2009,4 años,Otros trastornos respiratorios,6,1,5
2009,4 años,Otros trastornos del encéfalo,5,1,4
2009,4 años,Epilepsia,4,1,3
2009,4 años,Leucemia linfoide,3,2,1
2009,4 años,"Desnutrición proteicocalórica severa, no especificada",3,1,2
2009,4 años,Depleción del volumen,3,2,1
2009,4 años,Parálisis cerebral,3,2,1
2009,4 años,Hidrocéfalo,3,2,1
2009,4 años,Peritonitis,3,1,2
2009,4 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",17,10,7
2009,4 años,Otras causas,61,29,32
2009,5 - 9 años,"Neumonía, organismo no especificado",122,63,59
2009,5 - 9 años,Exposición a factores no especificados,97,65,32
2009,5 - 9 años,Diarrea y gastroenteritis de presunto origen infeccioso,96,36,60
2009,5 - 9 años,"Desnutrición proteicocalórica, no especificada",36,20,16
2009,5 - 9 años,Otras septicemias,30,19,11
2009,5 - 9 años,Leucemia linfoide,20,9,11
2009,5 - 9 años,Otras anemias,15,7,8
2009,5 - 9 años,Depleción del volumen,14,3,11
2009,5 - 9 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",14,8,6
2009,5 - 9 años,Leucemia de células de tipo no especificado,13,6,7
2009,5 - 9 años,Epilepsia,12,9,3
2009,5 - 9 años,Coagulación intravascular diseminada [síndrome de desfibrinación],11,5,6
2009,5 - 9 años,Otros trastornos del encéfalo,11,3,8
2009,5 - 9 años,Ileo paralítico y obstrucción intestinal sin hernia,11,4,7
2009,5 - 9 años,Fiebre del dengue hemorrágico,9,6,3
2009,5 - 9 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",71,41,30
2009,5 - 9 años,Otras causas,355,192,163
2009,10 - 14 años,Exposición a factores no especificados,103,80,23
2009,10 - 14 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",71,47,24
2009,10 - 14 años,"Neumonía, organismo no especificado",67,36,31
2009,10 - 14 años,Diarrea y gastroenteritis de presunto origen infeccioso,46,23,23
2009,10 - 14 años,Ahogamiento y sumersión no especificados,20,15,5
2009,10 - 14 años,"Desnutrición proteicocalórica, no especificada",19,9,10
2009,10 - 14 años,Leucemia de células de tipo no especificado,18,8,10
2009,10 - 14 años,Insuficiencia renal crónica,17,9,8
2009,10 - 14 años,Otras septicemias,16,5,11
2009,10 - 14 años,Leucemia linfoide,15,9,6
2009,10 - 14 años,Otros trastornos del encéfalo,14,5,9
2009,10 - 14 años,Epilepsia,12,9,3
2009,10 - 14 años,Secuelas de otros efectos y los no especificados de causas externas,12,8,4
2009,10 - 14 años,Otras anemias,11,7,4
2009,10 - 14 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,10,9,1
2009,10 - 14 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",71,34,37
2009,10 - 14 años,Otras causas,383,204,179
2009,15 - 19 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",737,660,77
2009,15 - 19 años,Exposición a factores no especificados,290,247,43
2009,15 - 19 años,"Neumonía, organismo no especificado",83,50,33
2009,15 - 19 años,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",67,57,10
2009,15 - 19 años,Agresión con objeto cortante,49,40,9
2009,15 - 19 años,Ahogamiento y sumersión no especificados,33,27,6
2009,15 - 19 años,Otras septicemias,32,14,18
2009,15 - 19 años,Leucemia de células de tipo no especificado,31,15,16
2009,15 - 19 años,Diarrea y gastroenteritis de presunto origen infeccioso,29,19,10
2009,15 - 19 años,Epilepsia,29,18,11
2009,15 - 19 años,"Envenenamiento autoinfligido intencionalmente por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",29,11,18
2009,15 - 19 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",28,22,6
2009,15 - 19 años,Agresión por medios no especificados,25,20,5
2009,15 - 19 años,"Desnutrición proteicocalórica, no especificada",24,6,18
2009,15 - 19 años,Insuficiencia renal crónica,24,10,14
2009,15 - 19 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",85,40,45
2009,15 - 19 años,Otras causas,788,429,359
2009,20 - 24 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",972,903,69
2009,20 - 24 años,Exposición a factores no especificados,437,394,43
2009,20 - 24 años,"Neumonía, organismo no especificado",91,45,46
2009,20 - 24 años,Agresión con objeto cortante,59,48,11
2009,20 - 24 años,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",59,55,4
2009,20 - 24 años,Agresión por medios no especificados,56,51,5
2009,20 - 24 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,44,39,5
2009,20 - 24 años,"Disparo de otras armas de fuego, y las no especificadas",41,38,3
2009,20 - 24 años,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",37,32,5
2009,20 - 24 años,Diarrea y gastroenteritis de presunto origen infeccioso,33,18,15
2009,20 - 24 años,Secuelas de otros efectos y los no especificados de causas externas,32,26,6
2009,20 - 24 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",31,20,11
2009,20 - 24 años,Infarto agudo del miocardio,30,15,15
2009,20 - 24 años,Ahogamiento y sumersión no especificados,30,26,4
2009,20 - 24 años,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",25,13,12
2009,20 - 24 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",102,64,38
2009,20 - 24 años,Otras causas,912,503,409
2009,25 - 29 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",930,853,77
2009,25 - 29 años,Exposición a factores no especificados,388,348,40
2009,25 - 29 años,"Neumonía, organismo no especificado",124,70,54
2009,25 - 29 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,107,100,7
2009,25 - 29 años,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",75,69,6
2009,25 - 29 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",73,50,23
2009,25 - 29 años,Fibrosis y cirrosis del hígado,61,52,9
2009,25 - 29 años,Diarrea y gastroenteritis de presunto origen infeccioso,57,39,18
2009,25 - 29 años,Agresión con objeto cortante,57,49,8
2009,25 - 29 años,Agresión por medios no especificados,55,49,6
2009,25 - 29 años,Infarto agudo del miocardio,43,21,22
2009,25 - 29 años,"Desnutrición proteicocalórica, no especificada",38,18,20
2009,25 - 29 años,Ahogamiento y sumersión no especificados,38,34,4
2009,25 - 29 años,Enfermedad alcohólica del hígado,36,30,6
2009,25 - 29 años,Otras septicemias,32,17,15
2009,25 - 29 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",117,65,52
2009,25 - 29 años,Otras causas,1062,612,450
2009,30 - 34 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",696,636,60
2009,30 - 34 años,Exposición a factores no especificados,323,292,31
2009,30 - 34 años,"Neumonía, organismo no especificado",106,55,51
2009,30 - 34 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,104,101,3
2009,30 - 34 años,Fibrosis y cirrosis del hígado,85,71,14
2009,30 - 34 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",81,61,20
2009,30 - 34 años,Infarto agudo del miocardio,60,41,19
2009,30 - 34 años,Diarrea y gastroenteritis de presunto origen infeccioso,51,28,23
2009,30 - 34 años,Enfermedad alcohólica del hígado,51,47,4
2009,30 - 34 años,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",51,46,5
2009,30 - 34 años,Agresión con objeto cortante,50,48,2
2009,30 - 34 años,Agresión por medios no especificados,46,41,5
2009,30 - 34 años,Secuelas de otros efectos y los no especificados de causas externas,40,35,5
2009,30 - 34 años,"Diabetes mellitus, no especificada",39,21,18
2009,30 - 34 años,Otras septicemias,33,17,16
2009,30 - 34 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",126,72,54
2009,30 - 34 años,Otras causas,988,559,429
2009,35 - 39 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",463,424,39
2009,35 - 39 años,Exposición a factores no especificados,273,251,22
2009,35 - 39 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,111,101,10
2009,35 - 39 años,Fibrosis y cirrosis del hígado,110,98,12
2009,35 - 39 años,"Neumonía, organismo no especificado",106,64,42
2009,35 - 39 años,Infarto agudo del miocardio,79,52,27
2009,35 - 39 años,"Diabetes mellitus, no especificada",63,36,27
2009,35 - 39 años,Enfermedad alcohólica del hígado,62,51,11
2009,35 - 39 años,Diarrea y gastroenteritis de presunto origen infeccioso,57,33,24
2009,35 - 39 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",55,43,12
2009,35 - 39 años,Tumor maligno del estómago,43,19,24
2009,35 - 39 años,Agresión con objeto cortante,43,36,7
2009,35 - 39 años,"Desnutrición proteicocalórica, no especificada",32,20,12
2009,35 - 39 años,"Disparo de otras armas de fuego, y las no especificadas, de intención no determinada",31,26,5
2009,35 - 39 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",29,10,19
2009,35 - 39 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",116,64,52
2009,35 - 39 años,Otras causas,1009,592,417
2009,40 - 44 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",369,337,32
2009,40 - 44 años,Exposición a factores no especificados,247,231,16
2009,40 - 44 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,139,128,11
2009,40 - 44 años,Fibrosis y cirrosis del hígado,139,107,32
2009,40 - 44 años,"Neumonía, organismo no especificado",109,70,39
2009,40 - 44 años,"Diabetes mellitus, no especificada",86,41,45
2009,40 - 44 años,Enfermedad alcohólica del hígado,85,68,17
2009,40 - 44 años,Infarto agudo del miocardio,76,42,34
2009,40 - 44 años,Tumor maligno del estómago,60,22,38
2009,40 - 44 años,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",49,39,10
2009,40 - 44 años,Diarrea y gastroenteritis de presunto origen infeccioso,46,33,13
2009,40 - 44 años,"Desnutrición proteicocalórica, no especificada",35,16,19
2009,40 - 44 años,Agresión con objeto cortante,35,30,5
2009,40 - 44 años,Diabetes mellitus no insulinodependiente,34,16,18
2009,40 - 44 años,Pancreatitis aguda,30,19,11
2009,40 - 44 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",118,75,43
2009,40 - 44 años,Otras causas,1044,550,494
2009,45 - 49 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",276,241,35
2009,45 - 49 años,Fibrosis y cirrosis del hígado,188,136,52
2009,45 - 49 años,Exposición a factores no especificados,184,159,25
2009,45 - 49 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,156,141,15
2009,45 - 49 años,"Diabetes mellitus, no especificada",154,80,74
2009,45 - 49 años,"Neumonía, organismo no especificado",137,76,61
2009,45 - 49 años,Infarto agudo del miocardio,125,76,49
2009,45 - 49 años,Enfermedad alcohólica del hígado,86,78,8
2009,45 - 49 años,Diarrea y gastroenteritis de presunto origen infeccioso,56,28,28
2009,45 - 49 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,56,26,30
2009,45 - 49 años,Tumor maligno del estómago,53,20,33
2009,45 - 49 años,Tumor maligno del cuello del útero,51,0,51
2009,45 - 49 años,Insuficiencia renal crónica,51,20,31
2009,45 - 49 años,Diabetes mellitus no insulinodependiente,50,21,29
2009,45 - 49 años,"Desnutrición proteicocalórica, no especificada",44,23,21
2009,45 - 49 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",141,77,64
2009,45 - 49 años,Otras causas,1127,606,521
2009,50 - 54 años,"Diabetes mellitus, no especificada",283,123,160
2009,50 - 54 años,Exposición a factores no especificados,216,186,30
2009,50 - 54 años,Fibrosis y cirrosis del hígado,187,129,58
2009,50 - 54 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",174,150,24
2009,50 - 54 años,Infarto agudo del miocardio,167,102,65
2009,50 - 54 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,140,123,17
2009,50 - 54 años,"Neumonía, organismo no especificado",128,68,60
2009,50 - 54 años,Tumor maligno del estómago,98,38,60
2009,50 - 54 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,83,35,48
2009,50 - 54 años,Enfermedad alcohólica del hígado,78,64,14
2009,50 - 54 años,Diabetes mellitus no insulinodependiente,77,34,43
2009,50 - 54 años,Diarrea y gastroenteritis de presunto origen infeccioso,64,31,33
2009,50 - 54 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",63,22,41
2009,50 - 54 años,Tumor maligno del cuello del útero,55,0,55
2009,50 - 54 años,"Desnutrición proteicocalórica, no especificada",54,27,27
2009,50 - 54 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",142,79,63
2009,50 - 54 años,Otras causas,1285,689,596
2009,55 - 59 años,"Diabetes mellitus, no especificada",343,151,192
2009,55 - 59 años,"Neumonía, organismo no especificado",218,117,101
2009,55 - 59 años,Infarto agudo del miocardio,204,127,77
2009,55 - 59 años,Fibrosis y cirrosis del hígado,177,111,66
2009,55 - 59 años,Exposición a factores no especificados,157,126,31
2009,55 - 59 años,Diabetes mellitus no insulinodependiente,123,58,65
2009,55 - 59 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",121,104,17
2009,55 - 59 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,117,66,51
2009,55 - 59 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,113,97,16
2009,55 - 59 años,Tumor maligno del estómago,112,55,57
2009,55 - 59 años,Diarrea y gastroenteritis de presunto origen infeccioso,77,42,35
2009,55 - 59 años,Insuficiencia renal crónica,77,40,37
2009,55 - 59 años,Enfermedad alcohólica del hígado,73,59,14
2009,55 - 59 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",69,26,43
2009,55 - 59 años,Insuficiencia cardíaca,53,25,28
2009,55 - 59 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",171,88,83
2009,55 - 59 años,Otras causas,1464,729,735
2009,60 - 64 años,"Diabetes mellitus, no especificada",372,163,209
2009,60 - 64 años,Infarto agudo del miocardio,235,146,89
2009,60 - 64 años,"Neumonía, organismo no especificado",234,123,111
2009,60 - 64 años,Fibrosis y cirrosis del hígado,184,104,80
2009,60 - 64 años,Exposición a factores no especificados,159,124,35
2009,60 - 64 años,Tumor maligno del estómago,134,55,79
2009,60 - 64 años,Diabetes mellitus no insulinodependiente,125,48,77
2009,60 - 64 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,119,56,63
2009,60 - 64 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",103,40,63
2009,60 - 64 años,Insuficiencia cardíaca,94,40,54
2009,60 - 64 años,Insuficiencia renal crónica,90,53,37
2009,60 - 64 años,Diarrea y gastroenteritis de presunto origen infeccioso,89,45,44
2009,60 - 64 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,85,83,2
2009,60 - 64 años,"Desnutrición proteicocalórica, no especificada",83,41,42
2009,60 - 64 años,"Agresión con disparo de otras armas de fuego, y las no especificadas",72,57,15
2009,60 - 64 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",204,110,94
2009,60 - 64 años,Otras causas,1516,781,735
2009,65 - 69 años,"Diabetes mellitus, no especificada",378,149,229
2009,65 - 69 años,"Neumonía, organismo no especificado",288,141,147
2009,65 - 69 años,Infarto agudo del miocardio,282,159,123
2009,65 - 69 años,Fibrosis y cirrosis del hígado,184,99,85
2009,65 - 69 años,Tumor maligno del estómago,154,81,73
2009,65 - 69 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,154,69,85
2009,65 - 69 años,Exposición a factores no especificados,134,110,24
2009,65 - 69 años,Diabetes mellitus no insulinodependiente,115,50,65
2009,65 - 69 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",103,50,53
2009,65 - 69 años,Insuficiencia cardíaca,94,53,41
2009,65 - 69 años,Diarrea y gastroenteritis de presunto origen infeccioso,91,50,41
2009,65 - 69 años,"Desnutrición proteicocalórica, no especificada",87,42,45
2009,65 - 69 años,Insuficiencia renal crónica,76,39,37
2009,65 - 69 años,Trastornos mentales y del comportamiento debidos al uso de alcohol,64,57,7
2009,65 - 69 años,Hipertensión esencial (primaria),54,21,33
2009,65 - 69 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",239,117,122
2009,65 - 69 años,Otras causas,1532,825,707
2009,70 - 74 años,"Diabetes mellitus, no especificada",405,156,249
2009,70 - 74 años,"Neumonía, organismo no especificado",401,227,174
2009,70 - 74 años,Infarto agudo del miocardio,348,201,147
2009,70 - 74 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",184,87,97
2009,70 - 74 años,Tumor maligno del estómago,178,89,89
2009,70 - 74 años,Insuficiencia cardíaca,160,82,78
2009,70 - 74 años,"Desnutrición proteicocalórica, no especificada",151,77,74
2009,70 - 74 años,Fibrosis y cirrosis del hígado,151,81,70
2009,70 - 74 años,Diabetes mellitus no insulinodependiente,144,56,88
2009,70 - 74 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,137,69,68
2009,70 - 74 años,Exposición a factores no especificados,123,101,22
2009,70 - 74 años,Diarrea y gastroenteritis de presunto origen infeccioso,102,68,34
2009,70 - 74 años,Insuficiencia renal crónica,87,44,43
2009,70 - 74 años,Otras enfermedades cerebrovasculares,74,34,40
2009,70 - 74 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",383,185,198
2009,70 - 74 años,Otras causas,1714,929,785
2009,75 - 79 años,"Neumonía, organismo no especificado",512,281,231
2009,75 - 79 años,Infarto agudo del miocardio,414,205,209
2009,75 - 79 años,"Diabetes mellitus, no especificada",329,137,192
2009,75 - 79 años,Insuficiencia cardíaca,277,149,128
2009,75 - 79 años,"Desnutrición proteicocalórica, no especificada",227,106,121
2009,75 - 79 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",217,113,104
2009,75 - 79 años,Tumor maligno del estómago,184,86,98
2009,75 - 79 años,Exposición a factores no especificados,147,106,41
2009,75 - 79 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,129,60,69
2009,75 - 79 años,Diabetes mellitus no insulinodependiente,127,58,69
2009,75 - 79 años,Fibrosis y cirrosis del hígado,121,82,39
2009,75 - 79 años,Otras enfermedades cerebrovasculares,113,56,57
2009,75 - 79 años,Otras enfermedades pulmonares obstructivas crónicas,112,62,50
2009,75 - 79 años,Diarrea y gastroenteritis de presunto origen infeccioso,106,54,52
2009,75 - 79 años,Insuficiencia renal crónica,93,57,36
2009,75 - 79 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",500,241,259
2009,75 - 79 años,Otras causas,1887,1007,880
2009,80 - 84 años,"Neumonía, organismo no especificado",656,345,311
2009,80 - 84 años,Infarto agudo del miocardio,510,261,249
2009,80 - 84 años,Insuficiencia cardíaca,321,143,178
2009,80 - 84 años,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",275,133,142
2009,80 - 84 años,"Desnutrición proteicocalórica, no especificada",264,117,147
2009,80 - 84 años,"Diabetes mellitus, no especificada",253,94,159
2009,80 - 84 años,Tumor maligno del estómago,156,65,91
2009,80 - 84 años,Exposición a factores no especificados,127,81,46
2009,80 - 84 años,Otras enfermedades pulmonares obstructivas crónicas,125,59,66
2009,80 - 84 años,Hipertensión esencial (primaria),108,40,68
2009,80 - 84 años,Diarrea y gastroenteritis de presunto origen infeccioso,107,63,44
2009,80 - 84 años,Tumor maligno del hígado y de las vías biliares intrahepáticas,106,54,52
2009,80 - 84 años,Otras enfermedades cerebrovasculares,102,52,50
2009,80 - 84 años,Insuficiencia renal no especificada,88,42,46
2009,80 - 84 años,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",703,328,375
2009,80 - 84 años,Otras causas,1817,906,911
2009,85 y más,"Neumonía, organismo no especificado",956,478,478
2009,85 y más,Infarto agudo del miocardio,790,368,422
2009,85 y más,Insuficiencia cardíaca,518,249,269
2009,85 y más,"Desnutrición proteicocalórica, no especificada",430,176,254
2009,85 y más,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",349,161,188
