Año,Tipo,Departamento_residencia,Todas las causas,Total,Hombres,Mujeres,Ignorado
2009,Internos,El Progreso,Traumatismo de regiones no especificadas del cuerpo,23,13,10,
2009,Internos,El Progreso,Cálculo del riñón y del uréter,19,15,3,1
2009,Internos,El Progreso,Colelitiasis,18,6,12,
2009,Internos,El Progreso,Trastornos mentales y del comportamiento debidos al uso de alcohol,16,15,1,
2009,Internos,El Progreso,Fractura del antebrazo,16,10,6,
2009,Internos,El Progreso,Fractura del fémur,15,7,8,
2009,Internos,El Progreso,"Fractura de la pierna, inclusive del tobillo",15,6,9,
2009,Internos,El Progreso,Infecciones intestinales debidas a virus y otros organismos especificados,14,8,6,
2009,Internos,El Progreso,Hernia inguinal,14,11,3,
2009,Internos,El Progreso,Otros trastornos respiratorios,12,5,7,
2009,Internos,El Progreso,Depleción del volumen,11,4,7,
2009,Internos,El Progreso,Hiperplasia de la próstata,11,11,,
2009,Internos,El Progreso,"Tratornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho",11,,11,
2009,Internos,El Progreso,Amigdalitis aguda,10,6,4,
2009,Internos,El Progreso,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",197,79,118,
2009,Internos,El Progreso,Otras causas,508,225,282,1
2009,Internos,Sacatepequez,Colecistitis,106,15,91,
2009,Internos,Sacatepequez,Hernia inguinal,99,62,37,
2009,Internos,Sacatepequez,Caries dental,80,50,30,
2009,Internos,Sacatepequez,"Otros trastornos no inflamatorios del útero, excepto del cuello",70,,70,
2009,Internos,Sacatepequez,Parto único por cesárea,70,,70,
2009,Internos,Sacatepequez,Colelitiasis,65,7,57,1
2009,Internos,Sacatepequez,Diarrea y gastroenteritis de presunto origen infeccioso,49,14,35,
2009,Internos,Sacatepequez,Nacidos vivos según lugar de nacimiento,45,27,18,
2009,Internos,Sacatepequez,Hiperplasia de la próstata,28,28,,
2009,Internos,Sacatepequez,Parto único espontáneo,28,,28,
2009,Internos,Sacatepequez,Apendicitis aguda,26,11,15,
2009,Internos,Sacatepequez,Otras cataratas,25,11,14,
2009,Internos,Sacatepequez,Amigdalitis aguda,24,13,11,
2009,Internos,Sacatepequez,Aborto no especificado,24,,24,
2009,Internos,Sacatepequez,Gonartrosis [artrosis de la rodilla],23,13,10,
2009,Internos,Sacatepequez,Otros trastornos de la nariz y de los senos paranasales,21,17,4,
2009,Internos,Sacatepequez,Enfermedades crónicas de las amígdalas y de las adenoides,21,12,9,
2009,Internos,Sacatepequez,Endometriosis,21,,21,
2009,Internos,Sacatepequez,Hipertensión esencial (primaria),19,4,15,
2009,Internos,Sacatepequez,"Neumonía, organismo no especificado",19,11,8,
2009,Internos,Sacatepequez,Traumatismo de regiones no especificadas del cuerpo,19,7,12,
2009,Internos,Sacatepequez,Otras enfermedades del estómago y del duodeno,18,5,13,
2009,Internos,Sacatepequez,Hernia no especificada de la cavidad abdominal,17,5,12,
2009,Internos,Sacatepequez,Prolapso genital femenino,17,,17,
2009,Internos,Sacatepequez,"Diabetes mellitus, no especificada",15,8,7,
2009,Internos,Sacatepequez,Otras Enfermedades de los tejidos duros de los dientes,15,8,7,
2009,Internos,Sacatepequez,Otros trastornos de las venas,14,,14,
2009,Internos,Sacatepequez,Otros estados postquirúrgicos,14,6,8,
2009,Internos,Sacatepequez,Otros estrabismos,13,9,4,
2009,Internos,Sacatepequez,Hernia umbilical,13,1,12,
2009,Internos,Sacatepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",83,39,44,
2009,Internos,Sacatepequez,Otras causas,707,299,408,
2009,Internos,Chimaltenango,Nacidos vivos según lugar de nacimiento,281,144,134,3
2009,Internos,Chimaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,238,111,127,
2009,Internos,Chimaltenango,Apendicitis aguda,231,104,126,1
2009,Internos,Chimaltenango,Parto único por cesárea,228,,228,
2009,Internos,Chimaltenango,Parto único espontáneo,180,,180,
2009,Internos,Chimaltenango,"Neumonía, organismo no especificado",150,84,65,1
2009,Internos,Chimaltenango,Colecistitis,107,23,84,
2009,Internos,Chimaltenango,Otros trastornos del sistema urinario,86,25,61,
2009,Internos,Chimaltenango,Otras enfermedades del estómago y del duodeno,71,27,44,
2009,Internos,Chimaltenango,Hernia inguinal,69,46,22,1
2009,Internos,Chimaltenango,Otras cataratas,67,38,29,
2009,Internos,Chimaltenango,"Otros trastornos no inflamatorios del útero, excepto del cuello",63,,63,
2009,Internos,Chimaltenango,Aborto no especificado,60,,60,
2009,Internos,Chimaltenango,Hipertensión esencial (primaria),55,11,44,
2009,Internos,Chimaltenango,"Diabetes mellitus, no especificada",50,19,31,
2009,Internos,Chimaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,49,46,3,
2009,Internos,Chimaltenango,Gastritis y duodenitis,30,14,16,
2009,Internos,Chimaltenango,Infecciones intestinales debidas a virus y otros organismos especificados,28,13,15,
2009,Internos,Chimaltenango,Hiperplasia de la próstata,26,26,,
2009,Internos,Chimaltenango,Otros traumatismos y los no especificados de la cabeza,25,17,8,
2009,Internos,Chimaltenango,Traumatismo de regiones no especificadas del cuerpo,25,16,9,
2009,Internos,Chimaltenango,Otras enfermedades pulmonares obstructivas crónicas,22,8,14,
2009,Internos,Chimaltenango,Cálculo del riñón y del uréter,22,16,6,
2009,Internos,Chimaltenango,"Apendicitis, no especificada",21,7,14,
2009,Internos,Chimaltenango,Amigdalitis aguda,20,6,14,
2009,Internos,Chimaltenango,Hernia umbilical,20,6,14,
2009,Internos,Chimaltenango,Hernia no especificada de la cavidad abdominal,20,9,11,
2009,Internos,Chimaltenango,Colelitiasis,19,,19,
2009,Internos,Chimaltenango,Celulitis,19,8,11,
2009,Internos,Chimaltenango,Leiomioma del útero,18,,18,
2009,Internos,Chimaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",167,72,92,3
2009,Internos,Chimaltenango,Otras causas,1052,461,587,4
2009,Internos,Escuintla,Nacidos vivos según lugar de nacimiento,220,132,77,11
2009,Internos,Escuintla,Parto único espontáneo,192,,192,
2009,Internos,Escuintla,Otras cataratas,83,38,45,
2009,Internos,Escuintla,Colecistitis,82,17,65,
2009,Internos,Escuintla,Hernia inguinal,81,53,28,
2009,Internos,Escuintla,Parto único por cesárea,80,,80,
2009,Internos,Escuintla,Diarrea y gastroenteritis de presunto origen infeccioso,69,25,44,
2009,Internos,Escuintla,Hipertensión esencial (primaria),67,30,36,1
2009,Internos,Escuintla,Colelitiasis,59,12,47,
2009,Internos,Escuintla,"Diabetes mellitus, no especificada",56,17,39,
2009,Internos,Escuintla,Otras enfermedades del estómago y del duodeno,56,25,29,2
2009,Internos,Escuintla,Apendicitis aguda,55,27,27,1
2009,Internos,Escuintla,"Neumonía, organismo no especificado",53,31,22,
2009,Internos,Escuintla,Otros trastornos del sistema urinario,50,15,35,
2009,Internos,Escuintla,Aborto no especificado,50,,50,
2009,Internos,Escuintla,Leiomioma del útero,41,,41,
2009,Internos,Escuintla,Gonartrosis [artrosis de la rodilla],36,9,27,
2009,Internos,Escuintla,"Otros trastornos no inflamatorios del útero, excepto del cuello",36,,36,
2009,Internos,Escuintla,Traumatismo de regiones no especificadas del cuerpo,32,13,19,
2009,Internos,Escuintla,Hiperplasia de la próstata,28,28,,
2009,Internos,Escuintla,Prolapso genital femenino,27,,27,
2009,Internos,Escuintla,Fractura del fémur,24,10,14,
2009,Internos,Escuintla,"Traumatismos múltiples, no especificados",24,17,7,
2009,Internos,Escuintla,Procedimientos para otros propósitos que no sean los de mejorar el estado de salud,24,4,20,
2009,Internos,Escuintla,Tumor maligno del cuello del útero,23,,23,
2009,Internos,Escuintla,Endometriosis,22,,22,
2009,Internos,Escuintla,Hernia umbilical,20,9,11,
2009,Internos,Escuintla,"Fractura de la pierna, inclusive del tobillo",20,11,9,
2009,Internos,Escuintla,Hernia no especificada de la cavidad abdominal,19,7,12,
2009,Internos,Escuintla,"Apendicitis, no especificada",18,9,9,
2009,Internos,Escuintla,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",134,56,76,2
2009,Internos,Escuintla,Otras causas,1078,464,610,4
2009,Internos,Santa Rosa,Nacidos vivos según lugar de nacimiento,90,50,37,3
2009,Internos,Santa Rosa,Parto único por cesárea,89,,89,
2009,Internos,Santa Rosa,Hernia inguinal,61,38,23,
2009,Internos,Santa Rosa,Colecistitis,50,13,37,
2009,Internos,Santa Rosa,Parto único espontáneo,44,,44,
2009,Internos,Santa Rosa,Otras cataratas,36,17,19,
2009,Internos,Santa Rosa,"Otros trastornos no inflamatorios del útero, excepto del cuello",33,,33,
2009,Internos,Santa Rosa,Otros trastornos del sistema urinario,32,12,20,
2009,Internos,Santa Rosa,"Neumonía, organismo no especificado",30,20,10,
2009,Internos,Santa Rosa,Diarrea y gastroenteritis de presunto origen infeccioso,27,13,14,
2009,Internos,Santa Rosa,Apendicitis aguda,26,12,14,
2009,Internos,Santa Rosa,Colelitiasis,26,5,21,
2009,Internos,Santa Rosa,Aborto no especificado,24,,24,
2009,Internos,Santa Rosa,"Personas en contacto con los servicios de salud por otras consultas y consejos médicos, no clasificados en otra parte",23,15,8,
2009,Internos,Santa Rosa,Hiperplasia de la próstata,19,19,,
2009,Internos,Santa Rosa,Endometriosis,17,,17,
2009,Internos,Santa Rosa,Prolapso genital femenino,16,,16,
2009,Internos,Santa Rosa,Leiomioma del útero,15,,15,
2009,Internos,Santa Rosa,Traumatismo de regiones no especificadas del cuerpo,15,9,6,
2009,Internos,Santa Rosa,Amigdalitis aguda,14,2,12,
2009,Internos,Santa Rosa,"Diabetes mellitus, no especificada",12,7,5,
2009,Internos,Santa Rosa,Hipertensión esencial (primaria),12,7,5,
2009,Internos,Santa Rosa,Hernia umbilical,12,2,10,
2009,Internos,Santa Rosa,Hernia no especificada de la cavidad abdominal,11,4,7,
2009,Internos,Santa Rosa,Otros trastornos de las venas,10,1,9,
2009,Internos,Santa Rosa,"Traumatismos múltiples, no especificados",10,7,3,
2009,Internos,Santa Rosa,Otras hemorragias uterinas o vaginales anormales,9,,9,
2009,Internos,Santa Rosa,Infecciones intestinales debidas a virus y otros organismos especificados,8,1,7,
2009,Internos,Santa Rosa,Depleción del volumen,8,4,4,
2009,Internos,Santa Rosa,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",8,3,5,
2009,Internos,Santa Rosa,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",77,33,44,
2009,Internos,Santa Rosa,Otras causas,450,218,231,1
2009,Internos,Solola,Parto único por cesárea,191,,191,
2009,Internos,Solola,Nacidos vivos según lugar de nacimiento,190,102,88,
2009,Internos,Solola,Diarrea y gastroenteritis de presunto origen infeccioso,77,43,34,
2009,Internos,Solola,"Neumonía, organismo no especificado",62,31,31,
2009,Internos,Solola,Trastornos mentales y del comportamiento debidos al uso de alcohol,44,44,,
2009,Internos,Solola,Infecciones intestinales debidas a virus y otros organismos especificados,38,24,14,
2009,Internos,Solola,Otras cataratas,35,14,21,
2009,Internos,Solola,Otros trastornos del sistema urinario,28,7,21,
2009,Internos,Solola,Otras enfermedades del estómago y del duodeno,26,3,23,
2009,Internos,Solola,Cuerpo extraño en parte externa del ojo,24,12,12,
2009,Internos,Solola,"Diabetes mellitus, no especificada",18,6,11,1
2009,Internos,Solola,Conjuntivitis,17,10,7,
2009,Internos,Solola,Traumatismo del ojo y de la órbita,17,13,4,
2009,Internos,Solola,Amebiasis,16,9,7,
2009,Internos,Solola,Asma,16,1,15,
2009,Internos,Solola,Aborto no especificado,16,,16,
2009,Internos,Solola,Apendicitis aguda,15,10,5,
2009,Internos,Solola,Sepsis bacteriana del recién nacido,15,4,11,
2009,Internos,Solola,Hipertensión esencial (primaria),13,7,6,
2009,Internos,Solola,Colecistitis,13,3,10,
2009,Internos,Solola,"Estado de embarazo, incidental",13,,13,
2009,Internos,Solola,Hernia inguinal,11,8,3,
2009,Internos,Solola,Hiperplasia de la próstata,10,10,,
2009,Internos,Solola,Hernia no especificada de la cavidad abdominal,9,3,6,
2009,Internos,Solola,Parto único espontáneo,9,,9,
2009,Internos,Solola,Traumatismo de regiones no especificadas del cuerpo,9,8,1,
2009,Internos,Solola,Bronquitis aguda,7,3,4,
2009,Internos,Solola,"Otros trastornos no inflamatorios del útero, excepto del cuello",7,,7,
2009,Internos,Solola,Labio leporino,7,5,2,
2009,Internos,Solola,"Nefritis tubulointersticial, no especificada como aguda o crónica",6,,6,
2009,Internos,Solola,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",41,12,29,
2009,Internos,Solola,Otras causas,238,116,119,3
2009,Internos,Totonicapan,Otras cataratas,101,58,43,
2009,Internos,Totonicapan,Apendicitis aguda,50,23,27,
2009,Internos,Totonicapan,Parto único espontáneo,47,,47,
2009,Internos,Totonicapan,Trastornos de la acomodación y de la refracción,44,21,23,
2009,Internos,Totonicapan,Parto único por cesárea,42,,42,
2009,Internos,Totonicapan,Diarrea y gastroenteritis de presunto origen infeccioso,40,22,18,
2009,Internos,Totonicapan,Colecistitis,39,9,30,
2009,Internos,Totonicapan,Traumatismo del ojo y de la órbita,31,16,15,
2009,Internos,Totonicapan,Cuerpo extraño en parte externa del ojo,31,15,16,
2009,Internos,Totonicapan,Conjuntivitis,29,12,17,
2009,Internos,Totonicapan,Nacidos vivos según lugar de nacimiento,29,15,14,
2009,Internos,Totonicapan,Aborto no especificado,27,,27,
2009,Internos,Totonicapan,"Neumonía, organismo no especificado",25,13,12,
2009,Internos,Totonicapan,Otros trastornos del ojo y sus anexos,24,9,15,
2009,Internos,Totonicapan,Hernia inguinal,24,16,8,
2009,Internos,Totonicapan,Trastornos del aparato lagrimal,16,3,13,
2009,Internos,Totonicapan,Traumatismo de regiones no especificadas del cuerpo,16,11,5,
2009,Internos,Totonicapan,Leiomioma del útero,15,,15,
2009,Internos,Totonicapan,"Diabetes mellitus, no especificada",14,9,5,
2009,Internos,Totonicapan,Hiperplasia de la próstata,14,14,,
2009,Internos,Totonicapan,Otros trastornos de la conjuntiva,13,5,8,
2009,Internos,Totonicapan,Amigdalitis aguda,13,4,9,
2009,Internos,Totonicapan,Hernia no especificada de la cavidad abdominal,13,9,4,
2009,Internos,Totonicapan,Otros trastornos del sistema urinario,13,3,10,
2009,Internos,Totonicapan,Colelitiasis,12,2,10,
2009,Internos,Totonicapan,Otras enfermedades del estómago y del duodeno,11,5,6,
2009,Internos,Totonicapan,"Otros trastornos no inflamatorios del útero, excepto del cuello",10,,10,
2009,Internos,Totonicapan,Trastornos mentales y del comportamiento debidos al uso de alcohol,9,9,,
2009,Internos,Totonicapan,Hipertensión esencial (primaria),9,5,4,
2009,Internos,Totonicapan,Fractura del antebrazo,9,5,4,
2009,Internos,Totonicapan,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",45,12,28,5
2009,Internos,Totonicapan,Otras causas,478,201,271,6
2009,Internos,Quetzaltenango,Nacidos vivos según lugar de nacimiento,744,373,362,9
2009,Internos,Quetzaltenango,Parto único espontáneo,632,,632,
2009,Internos,Quetzaltenango,Parto único por cesárea,439,,439,
2009,Internos,Quetzaltenango,Diarrea y gastroenteritis de presunto origen infeccioso,391,190,200,1
2009,Internos,Quetzaltenango,Otras cataratas,348,153,195,
2009,Internos,Quetzaltenango,Cuerpo extraño en parte externa del ojo,321,188,133,
2009,Internos,Quetzaltenango,"Neumonía, organismo no especificado",262,154,107,1
2009,Internos,Quetzaltenango,Trastornos de la acomodación y de la refracción,198,76,121,1
2009,Internos,Quetzaltenango,Apendicitis aguda,189,90,99,
2009,Internos,Quetzaltenango,Conjuntivitis,173,85,86,2
2009,Internos,Quetzaltenango,Otros trastornos del sistema urinario,169,42,127,
2009,Internos,Quetzaltenango,Hipertensión esencial (primaria),163,59,104,
2009,Internos,Quetzaltenango,Traumatismo del ojo y de la órbita,162,89,71,2
2009,Internos,Quetzaltenango,"Diabetes mellitus, no especificada",160,70,89,1
2009,Internos,Quetzaltenango,Aborto no especificado,156,,156,
2009,Internos,Quetzaltenango,"Estado de embarazo, incidental",140,,140,
2009,Internos,Quetzaltenango,Colelitiasis,114,30,84,
2009,Internos,Quetzaltenango,Colecistitis,113,37,75,1
2009,Internos,Quetzaltenango,Otros trastornos del ojo y sus anexos,109,54,54,1
2009,Internos,Quetzaltenango,Hernia inguinal,101,60,40,1
2009,Internos,Quetzaltenango,Infecciones intestinales debidas a virus y otros organismos especificados,96,48,48,
2009,Internos,Quetzaltenango,Leiomioma del útero,88,,88,
2009,Internos,Quetzaltenango,Otras enfermedades del estómago y del duodeno,83,30,52,1
2009,Internos,Quetzaltenango,Hemorragia postparto,81,,81,
2009,Internos,Quetzaltenango,Hiperplasia de la próstata,73,73,,
2009,Internos,Quetzaltenango,Traumatismo de regiones no especificadas del cuerpo,64,36,28,
2009,Internos,Quetzaltenango,Trastornos mentales y del comportamiento debidos al uso de alcohol,58,52,6,
2009,Internos,Quetzaltenango,Diabetes mellitus no insulinodependiente,57,23,34,
2009,Internos,Quetzaltenango,Otras septicemias,55,34,21,
2009,Internos,Quetzaltenango,Examen general e investigación de personas sin quejas o sin diagnóstico informado,46,11,34,1
2009,Internos,Quetzaltenango,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",314,125,189,
2009,Internos,Quetzaltenango,Otras causas,3050,1273,1767,10
2009,Internos,Suchitepequez,Nacidos vivos según lugar de nacimiento,336,170,160,6
2009,Internos,Suchitepequez,Diarrea y gastroenteritis de presunto origen infeccioso,234,92,142,
2009,Internos,Suchitepequez,"Estado de embarazo, incidental",150,,150,
2009,Internos,Suchitepequez,"Neumonía, organismo no especificado",126,60,66,
2009,Internos,Suchitepequez,Parto único por cesárea,120,,120,
2009,Internos,Suchitepequez,Parto único espontáneo,97,,97,
2009,Internos,Suchitepequez,Otras cataratas,85,44,41,
2009,Internos,Suchitepequez,Aborto no especificado,69,,69,
2009,Internos,Suchitepequez,Colecistitis,54,19,35,
2009,Internos,Suchitepequez,Otros trastornos del sistema urinario,51,15,36,
2009,Internos,Suchitepequez,Apendicitis aguda,48,20,27,1
2009,Internos,Suchitepequez,"Diabetes mellitus, no especificada",43,15,28,
2009,Internos,Suchitepequez,"Otros trastornos no inflamatorios del útero, excepto del cuello",41,,41,
2009,Internos,Suchitepequez,Hipertensión esencial (primaria),37,14,23,
2009,Internos,Suchitepequez,Hernia inguinal,34,21,13,
2009,Internos,Suchitepequez,Asma,33,10,23,
2009,Internos,Suchitepequez,Otras enfermedades del estómago y del duodeno,33,15,18,
2009,Internos,Suchitepequez,"Apendicitis, no especificada",33,20,13,
2009,Internos,Suchitepequez,Traumatismo de regiones no especificadas del cuerpo,33,22,11,
2009,Internos,Suchitepequez,Trastornos mentales y del comportamiento debidos al uso de alcohol,30,26,4,
2009,Internos,Suchitepequez,Leiomioma del útero,28,,28,
2009,Internos,Suchitepequez,Prolapso genital femenino,28,,28,
2009,Internos,Suchitepequez,Depleción del volumen,27,9,18,
2009,Internos,Suchitepequez,Colelitiasis,27,5,22,
2009,Internos,Suchitepequez,Fiebre del dengue [dengue clásico],26,10,16,
2009,Internos,Suchitepequez,Otros trastornos respiratorios,26,10,16,
2009,Internos,Suchitepequez,"Tratornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho",23,,23,
2009,Internos,Suchitepequez,"Traumatismos múltiples, no especificados",23,14,9,
2009,Internos,Suchitepequez,Infecciones intestinales debidas a virus y otros organismos especificados,21,10,11,
2009,Internos,Suchitepequez,"Complicaciones de procedimientos, no clasificadas en otra parte",21,4,17,
2009,Internos,Suchitepequez,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",143,50,93,
2009,Internos,Suchitepequez,Otras causas,982,433,548,1
2009,Internos,Retalhuleu,Nacidos vivos según lugar de nacimiento,410,237,173,
2009,Internos,Retalhuleu,Parto único por cesárea,316,,316,
2009,Internos,Retalhuleu,Otras cataratas,143,73,70,
2009,Internos,Retalhuleu,Parto único espontáneo,113,,113,
2009,Internos,Retalhuleu,Aborto no especificado,82,,82,
2009,Internos,Retalhuleu,Diarrea y gastroenteritis de presunto origen infeccioso,79,35,44,
2009,Internos,Retalhuleu,Apendicitis aguda,70,32,38,
2009,Internos,Retalhuleu,"Otros trastornos no inflamatorios del útero, excepto del cuello",62,,62,
2009,Internos,Retalhuleu,"Diabetes mellitus, no especificada",60,22,38,
2009,Internos,Retalhuleu,Colecistitis,56,12,44,
2009,Internos,Retalhuleu,Traumatismo de regiones no especificadas del cuerpo,50,25,25,
2009,Internos,Retalhuleu,"Neumonía, organismo no especificado",48,24,24,
2009,Internos,Retalhuleu,Depleción del volumen,46,22,24,
2009,Internos,Retalhuleu,Infecciones intestinales debidas a virus y otros organismos especificados,43,17,25,1
2009,Internos,Retalhuleu,Hernia inguinal,43,25,18,
2009,Internos,Retalhuleu,"Apendicitis, no especificada",30,15,15,
2009,Internos,Retalhuleu,Otros trastornos del sistema urinario,28,7,21,
2009,Internos,Retalhuleu,"Personas en contacto con los servicios de salud por otras consultas y consejos médicos, no clasificados en otra parte",28,11,17,
2009,Internos,Retalhuleu,Otras enfermedades del estómago y del duodeno,27,6,21,
2009,Internos,Retalhuleu,Leiomioma del útero,24,,24,
2009,Internos,Retalhuleu,Hernia no especificada de la cavidad abdominal,24,16,8,
2009,Internos,Retalhuleu,Fractura del fémur,19,12,7,
2009,Internos,Retalhuleu,Trastornos mentales y del comportamiento debidos al uso de alcohol,18,12,4,2
2009,Internos,Retalhuleu,Hipertensión esencial (primaria),18,7,11,
2009,Internos,Retalhuleu,Hiperplasia de la próstata,18,18,,
2009,Internos,Retalhuleu,Sepsis bacteriana del recién nacido,18,9,8,1
2009,Internos,Retalhuleu,Fiebres tifoidea y paratifoidea,17,7,10,
2009,Internos,Retalhuleu,Fiebre del dengue [dengue clásico],17,8,9,
2009,Internos,Retalhuleu,Colelitiasis,17,6,11,
2009,Internos,Retalhuleu,"Tratornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho",16,,16,
2009,Internos,Retalhuleu,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",134,57,77,
2009,Internos,Retalhuleu,Otras causas,672,269,401,2
2009,Internos,San Marcos,Nacidos vivos según lugar de nacimiento,800,462,330,8
2009,Internos,San Marcos,Parto único espontáneo,473,,473,
2009,Internos,San Marcos,Parto único por cesárea,449,,449,
2009,Internos,San Marcos,Diarrea y gastroenteritis de presunto origen infeccioso,330,154,173,3
2009,Internos,San Marcos,Otras cataratas,270,149,120,1
2009,Internos,San Marcos,"Neumonía, organismo no especificado",191,104,87,
2009,Internos,San Marcos,Aborto no especificado,144,,144,
2009,Internos,San Marcos,Apendicitis aguda,114,58,55,1
2009,Internos,San Marcos,Hernia inguinal,103,69,34,
2009,Internos,San Marcos,Colecistitis,83,13,70,
2009,Internos,San Marcos,Colelitiasis,82,20,61,1
2009,Internos,San Marcos,Otros trastornos del sistema urinario,79,16,63,
2009,Internos,San Marcos,"Diabetes mellitus, no especificada",66,25,41,
2009,Internos,San Marcos,Hemorragia precoz del embarazo,63,,63,
2009,Internos,San Marcos,Hipertensión esencial (primaria),61,26,35,
2009,Internos,San Marcos,Otras enfermedades del estómago y del duodeno,56,10,46,
2009,Internos,San Marcos,Traumatismo del ojo y de la órbita,49,29,20,
2009,Internos,San Marcos,Leiomioma del útero,48,,48,
2009,Internos,San Marcos,Hiperplasia de la próstata,45,45,,
2009,Internos,San Marcos,Prolapso genital femenino,43,,43,
2009,Internos,San Marcos,Infecciones intestinales debidas a virus y otros organismos especificados,41,24,17,
2009,Internos,San Marcos,Diabetes mellitus no insulinodependiente,39,17,22,
2009,Internos,San Marcos,Traumatismo de regiones no especificadas del cuerpo,38,23,15,
2009,Internos,San Marcos,Trastornos de la acomodación y de la refracción,37,19,18,
2009,Internos,San Marcos,"Otros trastornos no inflamatorios del útero, excepto del cuello",37,,37,
